content_id,title,type,genre,platform,country,language,release_year,duration_minutes,rating,votes,engagement_score,popularity_score
C100146,Silent Code 146,Series,Drama,Netflix,UK,English,2024,819,9.5,198380,2707.89,1872.71
C100452,Crimson Truth 452,Movie,Action,Netflix,Germany,German,2020,104,8.8,199426,345.67,1746.97
C101169,Cyber Night 1169,Series,Thriller,Prime Video,Germany,German,2022,1616,8.2,198549,5347.59,1622.15
C100271,Silent Code 271,Movie,Sci-Fi,Netflix,India,Spanish,2022,117,8.7,194802,379.86,1686.99
C100591,Silent Code 591,Movie,Drama,Hotstar,Germany,Hindi,2016,99,8.5,196936,324.94,1666.08
C100135,Dark Horizon 135,Movie,Sci-Fi,Prime Video,India,English,2020,138,8.5,190170,437.39,1608.84
C102394,Silent Code 2394,Series,Fantasy,Hotstar,UK,Hindi,2021,774,9.5,173705,2240.79,1638.04
C101149,Fading Light 1149,Series,Comedy,Hotstar,UK,Spanish,2016,1212,8.5,190318,3844.42,1610.09
C100994,Echoes of Time 994,Series,Fantasy,Prime Video,Spain,German,2019,1158,8.4,197019,3802.47,1649.05
C100910,Dark Horizon 910,Movie,Sci-Fi,Prime Video,Germany,German,2017,124,9.4,178121,368.12,1661.87
C101101,Echoes of Time 1101,Movie,Comedy,Prime Video,USA,English,2019,127,8.3,192507,407.47,1592.03
C100274,Lost Signal 274,Movie,Comedy,Netflix,India,German,2015,159,9.2,192054,508.94,1755.37
C101953,Echoes of Time 1953,Movie,Drama,Netflix,USA,Korean,2017,172,8.7,193791,555.53,1678.23
C101914,Crimson Truth 1914,Series,Comedy,Prime Video,South Korea,English,2021,1626,8.4,194213,5263.17,1623.62
C100220,Hidden Pulse 220,Series,Action,Hotstar,Spain,English,2021,1609,9.2,174751,4686.24,1597.22
C101060,Hidden Pulse 1060,Series,Sci-Fi,Netflix,USA,Korean,2023,1063,9.5,177301,3141.18,1671.95
C102127,Lost Signal 2127,Series,Sci-Fi,Prime Video,Spain,English,2016,749,9.3,168899,2108.42,1558.94
C100649,Last Kingdom 649,Movie,Fantasy,Hotstar,India,German,2019,135,9.0,174910,393.55,1563.7
C100410,Fading Light 410,Series,Comedy,Prime Video,Germany,German,2019,1352,8.7,182242,4106.52,1576.39
C100100,Lost Signal 100,Series,Drama,Prime Video,South Korea,English,2022,1987,8.7,190350,6303.76,1648.43
C101927,Echoes of Time 1927,Movie,Fantasy,Prime Video,Germany,English,2017,172,8.3,189330,542.75,1565.76
C102390,Neon Streets 2390,Series,Crime,Prime Video,Spain,English,2017,1554,8.9,186313,4825.51,1648.87
C102406,Last Kingdom 2406,Series,Thriller,Netflix,India,Korean,2016,1366,9.2,187179,4261.44,1710.82
C100746,Shadow Realm 746,Series,Fantasy,Prime Video,Spain,English,2022,1669,8.4,191729,5333.26,1602.85
C100404,Hidden Pulse 404,Series,Sci-Fi,Prime Video,Spain,Spanish,2016,342,7.7,198863,1133.52,1527.27
C100735,Silent Code 735,Movie,Crime,Netflix,India,Korean,2024,176,7.6,197699,579.92,1500.54
C102251,Last Kingdom 2251,Movie,Comedy,Netflix,Spain,Hindi,2018,95,8.3,196969,311.87,1628.93
C101025,Fading Light 1025,Series,Sci-Fi,Hotstar,South Korea,German,2020,361,8.3,183716,1105.36,1519.33
C101733,Lost Signal 1733,Series,Crime,Prime Video,India,Hindi,2022,866,8.6,179332,2588.36,1535.08
C100131,Last Kingdom 131,Series,Sci-Fi,Prime Video,India,Hindi,2024,1639,8.1,182957,4997.78,1476.46
C101989,Cyber Night 1989,Movie,Drama,Prime Video,Germany,Spanish,2015,153,8.1,184511,470.5,1489.0
C100599,Shadow Realm 599,Movie,Fantasy,Prime Video,Germany,Hindi,2015,101,9.4,173011,291.24,1614.19
C102125,Cyber Night 2125,Series,Action,Hotstar,UK,Korean,2023,927,9.1,171795,2654.23,1553.03
C100863,Broken Empire 863,Series,Thriller,Prime Video,India,German,2020,1771,7.8,188438,5562.06,1466.05
C101444,Echoes of Time 1444,Series,Comedy,Prime Video,India,Spanish,2018,460,8.3,188793,1447.41,1561.32
C102202,Crimson Truth 2202,Movie,Drama,Netflix,USA,Hindi,2016,80,9.3,166767,222.36,1539.26
C100808,Cyber Night 808,Series,Crime,Hotstar,India,Korean,2021,319,7.8,199004,1058.04,1548.25
C102009,Fading Light 2009,Series,Thriller,Prime Video,UK,German,2016,449,8.7,197508,1478.02,1710.42
C101198,Lost Signal 1198,Series,Comedy,Netflix,Spain,Korean,2023,816,7.6,198873,2704.67,1509.45
C100815,Crimson Truth 815,Series,Fantasy,Netflix,USA,Korean,2019,616,8.1,183952,1888.57,1484.49
C101017,Hidden Pulse 1017,Movie,Action,Prime Video,India,Korean,2016,92,7.8,185273,284.09,1441.42
C101713,Cyber Night 1713,Series,Action,Prime Video,Spain,Spanish,2017,481,9.4,165347,1325.53,1542.69
